model,n_train,n_validation,events_validation,auroc,auprc,brier,predictor_count
combined_metadata_thumbnail_features,7511,2504,456,0.8352928830866229,0.4510065992068549,0.1761981476432138,40
metadata_only,7511,2504,456,0.7770417865953947,0.3957594724331622,0.19715307368184912,6
thumbnail_image_features,7511,2504,456,0.7412794682017544,0.31236301598862526,0.21164163813056422,34
