subgroup,level,n,events,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,brier,brier_ci_low,brier_ci_high
sex,female,4560,688,0.8409620201085912,0.8236642744471661,0.8579937844850446,0.4242058238536393,0.3765569881415079,0.47485369606277894,0.15243948565208687,0.14459133079969907,0.1604050220112018
sex,male,5408,1136,0.8131165268766155,0.7978608514043433,0.8277553534731059,0.437054101993468,0.40210567103533507,0.47647184316677615,0.19368050128892944,0.18551857644340047,0.20192422795105486
anatom_site,Head and neck,1097,340,0.6521835418447433,0.6088090982074322,0.6956043818332586,0.4458139162034432,0.3754899186686596,0.5169043955292868,0.3123554915813637,0.29228266576254897,0.33329659728050126
anatom_site,Lower extremity,2396,338,0.8643941092920685,0.8426818346803093,0.8851914493634035,0.40623760707017753,0.3462645845450266,0.47556676333349523,0.13580303824431436,0.1252027897290006,0.1462976402851534
anatom_site,Trunk,5025,808,0.8457754092933599,0.8296612823476601,0.861270026784574,0.4137128974946551,0.3723153226424629,0.45956996679156803,0.15234530651126632,0.14498666294905507,0.16035269236605254
anatom_site,Upper extremity,1208,323,0.8001994017946161,0.7660645373278422,0.8339782851620307,0.5146658734260039,0.43939309004273,0.5976175292085528,0.2183568627178686,0.1979766227792379,0.23886941141387225
anatom_site,Missing,241,15,0.8106194690265487,0.5664069865319865,0.9541617188896551,0.2767758935344597,0.09033253954261118,0.5848913049462289,0.2273289344871732,0.19928072874748728,0.25669649780389897
