collection,n,events,overlap_removed,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,brier,brier_ci_low,brier_ci_high
67,1512,288,0,0.8090135938634714,0.7819050045109167,0.8357863655442589,0.43616004146374,0.3717113048100135,0.5105243190269207,0.19123881270214188,0.17727549676928173,0.2046857447141378
73,193,44,0,0.8528065893837706,0.7840926247803877,0.9170394877361437,0.4896257885292228,0.3377099167287305,0.7203361054480097,0.16928841091979174,0.12862350455494764,0.2123644566372212
470,7900,4112,1910,0.2701643450133331,0.25716047163558636,0.28438304864863345,0.3828112228799601,0.3655122243459017,0.4010433435078575,0.46447459207265634,0.44410690110415624,0.48456358108285125
