model,n,lesions,events,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,brier,brier_ci_low,brier_ci_high
metadata_only_logistic,10015,7470,1824,0.7622740486456037,0.7459350470073878,0.7785532818472662,0.3832795665832068,0.35563028731642626,0.4120338961031475,0.19962357407496825,0.19439241472996202,0.2048384579860687
thumbnail_features_logistic,10015,7470,1824,0.7414353606975562,0.7292847848079279,0.7540082152048047,0.2970053022268133,0.2767850527161445,0.31950810622564146,0.20922410831351698,0.2041658645470979,0.2142293151497324
combined_metadata_thumbnail_logistic,10015,7470,1824,0.828749983936156,0.8178256796098063,0.8395290560196362,0.43140541708412244,0.40329303815683665,0.4616092251441825,0.17506945697829057,0.1692436664356728,0.18112640903120053
