subgroup,level,n,events,auroc,auprc,brier
sex,female,1131,170,0.8434963579604579,0.4451293239563409,0.15268612514402308
sex,male,1360,286,0.8212388170488729,0.45669929742934534,0.19568131908071085
anatom_site,Head and neck,270,87,0.618679731172665,0.44008904081456457,0.3341963656371021
anatom_site,Lower extremity,592,76,0.8598276213790289,0.3777885082178845,0.13623487408715107
anatom_site,Trunk,1261,202,0.8622088837778963,0.459904047957749,0.1502420804558452
anatom_site,Upper extremity,298,86,0.7915204036858271,0.5193274192777865,0.2242528627114152
anatom_site,Missing,71,5,0.9878787878787879,0.8761904761904762,0.19748671980215274
