model,cohort,n,events,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,brier,brier_ci_low,brier_ci_high
metadata_only_logistic,collection_66_held_out,2504,456,0.7770417865953947,0.7551999568559783,0.7988519450183499,0.3957594724331622,0.35810470899938035,0.44310277710011914,0.19715307368184912,0.1898650148792847,0.204057967956047
thumbnail_features_logistic,collection_66_held_out,2504,456,0.7412794682017544,0.7202617890521614,0.7609446204777326,0.31236301598862526,0.279960255025257,0.3488917775067878,0.21164163813056422,0.20362608989735365,0.21996348677959776
combined_metadata_thumbnail_logistic,collection_66_held_out,2504,456,0.8352928830866229,0.8191218349276504,0.8518532372821257,0.4510065992068549,0.40858139274526595,0.499500982557806,0.1761981476432138,0.16724951883112654,0.18513112781658422
